"k","model","o","p","region"
2,"hier_lm",3.25809653802148,1.97991384779319,"2"
2,"hier_lm",2.484906649788,1.74952072848933,"2"
2,"hier_lm",4.27666611901606,2.84232363751903,"1"
2,"hier_lm",2.30258509299405,1.89622896766967,"2"
2,"hier_lm",2.89037175789616,2.84644275963321,"1"
2,"hier_lm",1.09861228866811,2.401523718464,"1"
2,"hier_lm",3.04452243772342,2.64254130796765,"1"
2,"hier_lm",2.484906649788,2.73090696334,"1"
2,"hier_lm",2.63905732961526,3.08022142468767,"1"
2,"hier_lm",2.484906649788,2.61567349561314,"1"
2,"hier_lm",3.04452243772342,2.46590224565287,"1"
2,"hier_lm",2.07944154167984,2.68816497698045,"1"
2,"hier_lm",1.6094379124341,2.07100747362175,"2"
2,"hier_lm",1.38629436111989,2.04414754542093,"2"
2,"hier_lm",3.71357206670431,3.20511128040558,"2"
2,"hier_lm",2.56494935746154,2.55587293187322,"1"
2,"hier_lm",3.36729582998647,2.59709040366997,"1"
2,"hier_lm",1.94591014905531,3.47774633054054,"2"
2,"hier_lm",2.07944154167984,2.41833376445035,"1"
2,"hier_lm",1.09861228866811,2.52416184321988,"2"
2,"hier_lm",1.6094379124341,2.66239814222857,"2"
2,"hier_lm",2.07944154167984,2.33962758065308,"1"
2,"hier_lm",2.63905732961526,2.76419467270392,"1"
2,"hier_lm",3.49650756146648,3.29822523891536,"2"
2,"hier_lm",4.40671924726425,3.29826509273514,"2"
2,"hier_lm",4.55387689160054,3.29829860617449,"2"
2,"hier_lm",3.49650756146648,3.29835204652374,"2"
2,"hier_lm",3.43398720448515,3.29836200997868,"2"
2,"hier_lm",2.70805020110221,3.29835023498647,"2"
2,"hier_lm",2.07944154167984,3.29831491000986,"2"
2,"hier_lm",3.76120011569356,3.29842541378287,"2"
2,"hier_lm",1.38629436111989,2.42453034641925,"1"
2,"hier_lm",1.79175946922805,2.8839975793879,"1"
2,"hier_lm",2.99573227355399,2.90192813477507,"1"
2,"hier_lm",4.17438726989564,3.38388614719943,"2"
2,"hier_lm",2.30258509299405,2.41480560250006,"1"
2,"hier_lm",2.63905732961526,2.65895969070158,"1"
2,"hier_lm",2.30258509299405,2.70796955871395,"1"
2,"hier_lm",4.35670882668959,3.4683452656132,"2"
2,"hier_lm",3.25809653802148,2.8614123307128,"2"
2,"hier_lm",3.43398720448515,3.59617458580978,"2"
2,"hier_lm",4.17438726989564,3.56150091913491,"2"
2,"hier_lm",4.68582808900555,4.03663924770131,"2"
2,"hier_lm",4.70138904372863,4.03340927676235,"2"
2,"hier_lm",2.484906649788,2.30819637875592,"1"
2,"hier_lm",2.94443897916644,3.88283410854866,"2"
2,"hier_lm",2.99573227355399,2.86861308383748,"2"
2,"hier_lm",2.30258509299405,2.03330338179542,"1"
2,"hier_lm",2.89037175789616,2.85139554572814,"2"
2,"hier_lm",3.46573590279973,2.48480445246533,"1"
2,"hier_lm",1.6094379124341,3.10787002652829,"2"
2,"hier_lm",0.693147180559945,3.90483158988421,"2"
2,"hier_lm",3.68887945411394,3.26309075658575,"2"
2,"hier_lm",2.63905732961526,3.34809853392806,"2"
2,"hier_lm",3.25809653802148,2.12971654102538,"1"
2,"hier_lm",2.83321334405622,3.27373834829093,"2"
2,"hier_lm",1.6094379124341,3.85288780483991,"2"
2,"hier_lm",4.25632167829882,3.35126161157599,"2"
2,"hier_lm",3.61091791264422,3.90336938369668,"2"
2,"hier_lm",2.70805020110221,3.89219495162038,"2"
2,"hier_lm",2.484906649788,3.7139641697206,"2"
2,"hier_lm",3.58351893845611,3.18020262948436,"2"
2,"hier_lm",2.07944154167984,2.01374718848399,"1"
2,"hier_lm",4.8283137373023,3.74453889877512,"2"
2,"hier_lm",5.20948615284142,3.55914845804763,"2"
2,"hier_lm",4.29045944114839,3.55980242299938,"2"
2,"hier_lm",2.484906649788,3.41885287924555,"2"
2,"hier_lm",3.97029191355212,3.60209107612345,"2"
2,"hier_lm",2.484906649788,1.96090290888412,"1"
2,"hier_lm",3.40119738166216,4.0213071271174,"2"
2,"hier_lm",1.38629436111989,2.90299876401596,"2"
2,"hier_lm",1.09861228866811,2.45254948994378,"2"
2,"hier_lm",3.98898404656427,3.31003724875118,"2"
2,"hier_lm",2.56494935746154,2.77110011404702,"2"
2,"hier_lm",2.30258509299405,3.11863385513182,"2"
2,"hier_lm",4.70048036579242,3.39942813229342,"2"
2,"hier_lm",2.77258872223978,2.35470404513763,"1"
2,"hier_lm",4.27666611901606,3.35413314568131,"2"
2,"hier_lm",5.95064255258773,4.16628473084649,"2"
2,"hier_lm",4.74493212836325,3.93600337062435,"2"
2,"hier_lm",5.63478960316925,4.04909294891859,"2"
2,"hier_lm",2.07944154167984,3.25234767603875,"2"
2,"hier_lm",2.07944154167984,2.61431375762566,"2"
2,"hier_lm",4.97673374242057,3.61824976800204,"2"
2,"hier_lm",2.07944154167984,1.97686690063874,"1"
2,"hier_lm",1.79175946922805,1.88914968051807,"1"
2,"hier_lm",3.78418963391826,1.99436618004031,"1"
2,"hier_lm",2.30258509299405,3.50802024562083,"2"
2,"hier_lm",0.693147180559945,3.22722604757372,"2"
2,"hier_lm",2.52572864430826,3.23062196603577,"2"
2,"hier_lm",0.693147180559945,1.43598239835434,"1"
2,"hier_lm",2.484906649788,1.67243197540919,"1"
2,"hier_lm",4.15966402834274,3.25389189547085,"2"
2,"hier_lm",3.3322045101752,3.19186837487086,"2"
2,"hier_lm",2.68784749378469,3.25211777001091,"2"
2,"hier_lm",3.5945687746427,3.24845685868411,"2"
2,"hier_lm",3.28952066443753,3.25205111545015,"2"
2,"hier_lm",1.84054963339749,3.66479583295282,"2"
2,"hier_lm",3.40119738166216,3.30401095740281,"2"
2,"hier_lm",1.38629436111989,1.55526647281026,"1"
2,"hier_lm",2.07944154167984,1.8304263229444,"1"
2,"hier_lm",2.07944154167984,1.92834248980448,"1"
2,"hier_lm",4.77912349311153,3.94260878540266,"2"
2,"hier_lm",4.77912349311153,3.78483129078864,"2"
2,"hier_lm",6.92657703322272,3.78478336452002,"2"
2,"hier_lm",4.64439089914137,3.58469332507559,"2"
2,"hier_lm",2.30258509299405,2.52278481343099,"2"
2,"hier_lm",3.63758615972639,3.5318234821154,"2"
2,"hier_lm",3.61091791264422,3.75376335842659,"2"
2,"hier_lm",4.38202663467388,3.54789613729152,"2"
2,"hier_lm",1.38629436111989,1.86457019632131,"1"
2,"hier_lm",4.43081679884331,3.44466424920686,"2"
2,"hier_lm",2.83321334405622,3.33985712247865,"2"
2,"hier_lm",2.484906649788,2.35050077608427,"2"
2,"hier_lm",2.89037175789616,3.08716469137934,"2"
2,"hier_lm",4.06044301054642,3.38819054023097,"2"
2,"hier_lm",2.484906649788,2.66150263801075,"2"
2,"hier_lm",4.14313472639153,3.26085820801218,"2"
2,"hier_lm",1.79175946922805,1.3623434459668,"1"
2,"hier_lm",2.07944154167984,2.89581706079049,"2"
2,"hier_lm",2.19722457733622,2.22337893144573,"1"
2,"hier_lm",4.68213122712422,3.79112445939037,"2"
2,"hier_lm",2.484906649788,2.07079164063326,"1"
2,"hier_lm",3.09104245335832,2.70571750426831,"2"
2,"hier_lm",3.13549421592915,3.66971174685076,"2"
2,"hier_lm",2.484906649788,2.15672320498139,"1"
2,"hier_lm",3.13549421592915,3.1125966335866,"2"
2,"hier_lm",2.63905732961526,3.9251448981738,"2"
2,"hier_lm",3.87120101090789,3.3845085314449,"2"
2,"hier_lm",5.01727983681492,4.11004808310704,"2"
2,"hier_lm",4.29045944114839,4.12730436737234,"2"
2,"hier_lm",2.94443897916644,3.14282482892555,"2"
2,"hier_lm",4.30406509320417,4.18757448606774,"2"
2,"hier_lm",3.87120101090789,3.67505634358523,"2"
2,"hier_lm",2.83321334405622,4.14788303179239,"2"
2,"hier_lm",2.56494935746154,2.60432574409074,"1"
2,"hier_lm",3.76120011569356,3.94287122171588,"2"
2,"hier_lm",3.87120101090789,3.89332099153542,"2"
2,"hier_lm",4.39444915467244,3.88019551148345,"2"
2,"hier_lm",3.04452243772342,2.80833706870177,"2"
2,"hier_lm",2.56494935746154,2.05306071895222,"1"
2,"hier_lm",2.94443897916644,3.28091574499194,"2"
2,"hier_lm",4.53259949315326,4.32025682235462,"2"
2,"hier_lm",2.07944154167984,2.58473787458551,"2"
2,"hier_lm",2.99573227355399,2.61025962879807,"2"
2,"hier_lm",1.94591014905531,2.14552648504054,"1"
2,"hier_lm",2.63905732961526,2.32558224309121,"2"
2,"hier_lm",4.86753445045558,4.22470079383718,"2"
2,"hier_lm",1.38629436111989,2.17119031375777,"1"
2,"hier_lm",2.39789527279837,3.19093174805114,"2"
2,"hier_lm",5.28066243130932,2.93013944848571,"2"
2,"hier_lm",3.97029191355212,3.48596621110822,"2"
2,"hier_lm",1.94591014905531,2.24246271734885,"1"
2,"hier_lm",2.94443897916644,2.85990762940069,"2"
2,"hier_lm",2.07944154167984,2.79939219831148,"2"
2,"hier_lm",1.6094379124341,2.1493982426756,"2"
2,"hier_lm",1.6094379124341,2.79628264249327,"2"
2,"hier_lm",2.39789527279837,2.41638889662679,"1"
